Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","1.91"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","1.89"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","1.95"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","1.96"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","2.04"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","2.13"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","2.23"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","2.34"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","2.39"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","2.43"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","2.51"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","2.57"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","2.62"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","2.63"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","2.64"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","2.63"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","2.58"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","2.48"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","2.28"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","2.12"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","2.01"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","1.9"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","1.83"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","0.26"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","0.26"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","0.25"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","0.21"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","0.21"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","0.22"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","0.16"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","0.09"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","0.17"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","0.24"
"RP","Pesticides Use","356","India","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","0.24"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","2.41"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","2.31"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","2.35"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","2.32"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","2.38"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","2.33"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","2.24"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","2.43"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","2.31"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","2.18"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","2.28"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","2.38"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","2.59"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","2.65"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","2.6"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","2.66"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","2.82"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","2.8"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","2.87"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","3.13"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","3.02"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2021","2021","kg/ha","2.78"
"RP","Pesticides Use","840","United States of America","5159","Use per area of cropland","1357","Pesticides (total)","2022","2022","kg/ha","3.02"
